time,new_case,death,MI
1,0.00,0.00,98
2,0.01,0.00,99
3,0.01,0.00,100
4,0.00,0.00,95
5,0.00,0.00,92
6,0.00,0.00,95
7,0.01,0.00,97
8,0.01,0.00,97
9,0.00,0.00,91
10,0.01,0.00,96
11,0.01,0.00,95
12,0.00,0.00,96
13,0.01,0.00,94
14,0.01,0.00,98
15,0.01,0.00,91
16,0.01,0.00,97
17,0.01,0.00,95
18,0.01,0.00,99
19,0.01,0.00,97
20,0.01,0.00,100
21,0.00,0.00,97
22,0.01,0.00,94
23,0.01,0.00,94
24,0.00,0.00,98
25,0.00,0.00,91
26,0.01,0.00,97
27,0.01,0.00,95
28,0.01,0.00,95
29,0.00,0.00,95
30,0.01,0.00,92
31,0.01,0.00,92
32,0.01,0.00,99
33,0.00,0.00,94
34,0.00,0.00,92
35,0.01,0.00,98
36,0.01,0.00,100
37,0.01,0.00,93
38,0.00,0.00,95
39,0.01,0.00,93
40,-0.01,0.00,94
41,0.65,0.59,95
42,1.33,1.18,100
43,1.99,1.76,100
44,2.72,3.53,100
45,3.35,4.41,92
46,3.95,3.53,92
47,4.68,4.12,96
48,5.31,2.35,100
49,5.99,2.65,94
50,6.68,2.94,86
51,7.32,6.47,83
52,8.00,3.53,92
53,8.60,3.82,74
54,9.36,8.24,80
55,10.03,13.24,69
56,10.69,9.41,74
57,11.39,15.00,59
58,11.97,10.59,73
59,12.61,11.18,54
60,13.33,11.76,69
61,13.97,18.53,63
62,14.63,6.47,57
63,15.39,6.76,57
64,16.01,21.18,51
65,16.67,22.06,42
66,17.39,15.29,33
67,17.93,15.88,47
68,18.73,16.47,43
69,19.33,8.53,37
70,19.98,26.47,36
71,20.71,18.24,19
72,21.27,28.24,26
73,22.06,9.71,20
74,22.67,30.00,27
75,23.37,10.29,18
76,24.00,10.59,15
77,24.71,10.88,16
78,25.33,11.18,9
79,25.95,34.41,0
80,26.61,35.29,-10
81,27.31,24.12,0
82,28.05,12.35,-9
83,28.60,37.94,-14
84,29.30,25.88,-12
85,29.99,39.71,-23
86,30.69,40.59,-10
87,31.39,41.47,-12
88,32.02,14.12,-16
89,32.66,28.82,-20
90,33.35,44.12,-37
91,34.03,15.00,-37
92,34.63,15.29,-37
93,35.37,15.59,-37
94,35.93,47.65,-52
95,36.69,16.18,-42
96,37.31,16.47,-53
97,38.06,50.29,-43
98,38.73,34.12,-48
99,39.34,34.71,-57
100,39.93,52.94,-66
101,40.73,17.94,-63
102,41.39,54.71,-65
103,42.00,18.53,-53
104,42.63,18.82,-61
105,43.29,19.12,-62
106,43.97,38.82,-56
107,44.71,19.71,-68
108,45.39,60.00,-53
109,46.05,40.59,-55
110,46.68,20.59,-61
111,47.33,62.65,-58
112,47.97,21.18,-60
113,48.63,64.41,-62
114,49.39,65.29,-53
115,50.02,22.06,-63
116,50.64,44.71,-57
117,51.28,22.65,-57
118,52.03,22.94,-53
119,52.69,46.47,-59
120,53.37,47.06,-52
121,54.05,47.65,-68
122,54.65,24.12,-67
123,55.38,48.82,-55
124,56.03,24.71,-63
125,56.72,75.00,-64
126,57.31,25.29,-61
127,58.05,25.59,-69
128,58.63,25.88,-51
129,59.37,26.18,-70
130,60.04,26.47,-54
131,60.73,80.29,-51
132,61.34,54.12,-52
133,62.06,27.35,-65
134,62.65,82.94,-64
135,63.27,55.88,-65
136,64.05,84.71,-68
137,64.63,85.59,-69
138,65.29,57.65,-69
139,66.06,29.12,-61
140,66.61,29.41,-51
141,67.38,89.12,-70
142,68.03,90.00,-67
143,68.63,60.59,-51
144,69.35,61.18,-61
145,69.99,30.88,-58
146,70.71,93.53,-63
147,71.35,94.41,-56
148,71.97,63.53,-65
149,72.65,96.18,-58
150,73.35,64.71,-54
